City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Sao Filipe,CV,2020-10-13 18:22:59,14.9,-24.5,79.03,76,21,12.19
70,Fortuna,US,2020-10-13 18:23:00,40.6,-124.16,68.0,77,20,4.7
71,Port Alfred,ZA,2020-10-13 18:23:00,-33.59,26.89,59.16,71,3,17.54
72,Hobart,AU,2020-10-13 18:18:09,-42.88,147.33,41.0,86,0,8.05
73,Faya,SA,2020-10-13 18:23:00,18.39,42.45,64.4,77,3,3.02
74,Sangar,RU,2020-10-13 18:23:01,63.92,127.47,18.25,97,94,5.06
75,Khandbari,NP,2020-10-13 18:23:01,27.37,87.2,69.49,67,12,1.99
76,Zhigansk,RU,2020-10-13 18:23:01,66.77,123.37,11.93,95,100,10.8
77,Geraldton,AU,2020-10-13 18:18:51,-28.77,114.6,64.4,82,75,5.82
78,Verkhnevilyuysk,RU,2020-10-13 18:23:02,63.45,120.32,18.36,97,69,3.71
79,Kodiak,US,2020-10-13 18:23:02,57.79,-152.41,44.6,87,90,4.7
80,Bredasdorp,ZA,2020-10-13 18:23:03,-34.53,20.04,51.8,71,7,2.24
81,Qaqortoq,GL,2020-10-13 18:23:03,60.72,-46.03,42.8,75,75,5.82
82,Devils Lake,US,2020-10-13 18:23:03,48.11,-98.87,50.0,37,1,25.28
83,Kununurra,AU,2020-10-13 18:23:04,-15.77,128.73,68.0,94,58,2.24
84,Narsaq,GL,2020-10-13 18:23:04,60.92,-46.05,42.8,75,75,5.82
85,Aras,ES,2020-10-13 18:23:04,42.56,-2.36,57.2,67,75,5.82
86,Kalmunai,LK,2020-10-13 18:23:04,7.42,81.82,80.17,67,14,8.72
87,Aklavik,CA,2020-10-13 18:23:05,68.22,-135.01,21.2,67,90,4.7
88,Leningradskiy,RU,2020-10-13 18:23:05,69.38,178.42,18.43,87,27,4.92
89,Tanakpur,IN,2020-10-13 18:23:05,29.08,80.12,72.95,52,0,5.39
90,Bluff,NZ,2020-10-13 18:23:06,-46.6,168.33,44.01,77,85,15.99
91,Hella,NO,2020-10-13 18:23:06,67.2,14.43,41.0,86,40,1.12
92,Georgetown,MY,2020-10-13 18:23:06,5.41,100.34,77.0,94,20,2.24
93,Varnamo,SE,2020-10-13 18:23:06,57.19,14.04,45.0,89,5,7.18
94,East London,ZA,2020-10-13 18:18:46,-33.02,27.91,59.0,62,0,8.05
95,Dongsheng,CN,2020-10-13 18:23:07,39.82,109.98,42.57,56,100,6.22
96,Chauk,MM,2020-10-13 18:23:07,20.88,94.82,80.19,76,86,4.47
97,Saldanha,ZA,2020-10-13 18:19:23,-33.01,17.94,59.0,62,54,12.75
98,Ponta Do Sol,PT,2020-10-13 18:23:08,32.67,-17.1,72.0,68,40,12.75
99,Jamestown,US,2020-10-13 18:20:52,42.1,-79.24,57.99,58,1,13.87
100,Labuhan,ID,2020-10-13 18:23:08,-6.88,112.21,79.97,80,90,6.67
101,Pacific Grove,US,2020-10-13 18:21:23,36.62,-121.92,75.2,52,1,4.7
102,Harper,LR,2020-10-13 18:23:09,4.38,-7.72,77.92,87,90,8.77
103,Aleksandrov Gay,RU,2020-10-13 18:23:10,50.15,48.57,56.71,34,18,11.63
104,Taoudenni,ML,2020-10-13 18:23:10,22.68,-3.98,97.74,12,41,4.88
105,Esil,KZ,2020-10-13 18:23:10,51.96,66.4,48.94,49,100,3.6
106,Khatanga,RU,2020-10-13 18:23:11,71.97,102.5,13.19,96,99,8.5
107,Dikson,RU,2020-10-13 18:19:01,73.51,80.55,30.78,92,99,8.19
108,Coolum Beach,AU,2020-10-13 18:23:11,-26.53,153.1,63.0,84,15,1.01
109,Clyde River,CA,2020-10-13 18:23:11,70.47,-68.59,26.6,92,75,13.87
110,Anadyr,RU,2020-10-13 18:23:12,64.75,177.48,21.2,85,0,4.47
111,Makokou,GA,2020-10-13 18:23:12,0.57,12.86,73.04,91,37,3.69
112,Tasiilaq,GL,2020-10-13 18:18:58,65.61,-37.64,41.0,86,100,27.51
113,Namatanai,PG,2020-10-13 18:19:54,-3.67,152.43,76.77,90,100,7.2
